Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SimulasiKredit,,,,08-05-2024 11:04:12,08-05-2024 11:05:53,1m - 41.246s,PASSED
,,,,,,,
Test Cases/KKBSKM Mobile Simulasi/Simulasi_Kredit,,,,08-05-2024 11:04:12,08-05-2024 11:05:53,1m - 40.932s,PASSED
"baseDir = System.getProperty(""user.dir"")",,,,08-05-2024 11:04:13,08-05-2024 11:04:13,0.008s,PASSED
"packageName = ""bcaf.crm.kkb.saleskit""",,,,08-05-2024 11:04:13,08-05-2024 11:04:13,0.002s,PASSED
startExistingApplication(packageName),,,,08-05-2024 11:04:13,08-05-2024 11:04:34,21.475s,PASSED
driver = getDriver(),,,,08-05-2024 11:04:34,08-05-2024 11:04:34,0.002s,PASSED
"id = ""bcaf.crm.kkb.saleskit:id""",,,,08-05-2024 11:04:34,08-05-2024 11:04:34,0.003s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath"":""//androidx.recyclerview.widget.RecyclerView[1]/android.view.ViewGroup[1]""]), 0, STOP_ON_FAILURE)",,,,08-05-2024 11:04:34,08-05-2024 11:04:36,2.076s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@resource-id = '$id/jenisProgram']]), 0)",,,,08-05-2024 11:04:36,08-05-2024 11:04:39,2.810s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@class = 'android.widget.CheckedTextView' and (@text = '$Program')]]), 0)",,,,08-05-2024 11:04:39,08-05-2024 11:04:41,1.442s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@resource-id = '$id/jenisPembiayaan']]), 0)",,,,08-05-2024 11:04:41,08-05-2024 11:04:42,1.302s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@class = 'android.widget.CheckedTextView' and (@text = '$JenisPembiayaan')]]), 0)",,,,08-05-2024 11:04:42,08-05-2024 11:04:44,2.353s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@resource-id = '$id/tipeKonsumen']]), 0)",,,,08-05-2024 11:04:44,08-05-2024 11:04:45,1.294s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@class = 'android.widget.CheckedTextView' and (@text = '$TipeKonsumen')]]), 0)",,,,08-05-2024 11:04:45,08-05-2024 11:04:47,1.032s,PASSED
switch (NPWP),,,,08-05-2024 11:04:47,08-05-2024 11:04:47,0.213s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@resource-id = '$id/cluster']]), 0)",,,,08-05-2024 11:04:47,08-05-2024 11:04:50,2.932s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@class = 'android.widget.CheckedTextView' and (@text = '$Cluster')]]), 0)",,,,08-05-2024 11:04:50,08-05-2024 11:04:51,0.930s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@resource-id = '$id/tujuanPenggunaan']]), 0)",,,,08-05-2024 11:04:51,08-05-2024 11:04:52,1.248s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@class = 'android.widget.CheckedTextView' and (@text = '$TujuanPenggunaan')]]), 0)",,,,08-05-2024 11:04:52,08-05-2024 11:04:53,0.912s,PASSED
"takeScreenshot(baseDir + screenshotPathKredit + ""/"" + No + ""/"" + ""Input Data"" + "".png"", STOP_ON_FAILURE)",,,,08-05-2024 11:04:53,08-05-2024 11:04:54,0.834s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@resource-id = '$id/nextSimKredit']]), 0)",,,,08-05-2024 11:04:54,08-05-2024 11:04:55,1.080s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@resource-id = '$id/hargaKendaraan']]), 0)",,,,08-05-2024 11:04:55,08-05-2024 11:04:56,1.643s,PASSED
HargaKendaraan = HargaKendaraan,,,,08-05-2024 11:04:56,08-05-2024 11:04:56,0.001s,PASSED
