Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SimulasiKredit,,,,10-05-2024 13:28:53,10-05-2024 13:30:23,1m - 29.246s,PASSED
,,,,,,,
Test Cases/KKBSKM Mobile Simulasi/Simulasi_Kredit,,,,10-05-2024 13:28:54,10-05-2024 13:30:23,1m - 28.956s,PASSED
"baseDir = System.getProperty(""user.dir"")",,,,10-05-2024 13:28:55,10-05-2024 13:28:55,0.007s,PASSED
"packageName = ""bcaf.crm.kkb.saleskit""",,,,10-05-2024 13:28:55,10-05-2024 13:28:55,0.001s,PASSED
startExistingApplication(packageName),,,,10-05-2024 13:28:55,10-05-2024 13:29:18,22.914s,PASSED
driver = getDriver(),,,,10-05-2024 13:29:18,10-05-2024 13:29:18,0.002s,PASSED
"id = ""bcaf.crm.kkb.saleskit:id""",,,,10-05-2024 13:29:18,10-05-2024 13:29:18,0.002s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath"":""//androidx.recyclerview.widget.RecyclerView[1]/android.view.ViewGroup[1]""]), 0, STOP_ON_FAILURE)",,,,10-05-2024 13:29:18,10-05-2024 13:29:21,3.401s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@resource-id = '$id/jenisProgram']]), 0)",,,,10-05-2024 13:29:21,10-05-2024 13:29:21,0.249s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@class = 'android.widget.CheckedTextView' and (@text = '$Program')]]), 0)",,,,10-05-2024 13:29:21,10-05-2024 13:29:23,2.089s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@resource-id = '$id/jenisPembiayaan']]), 0)",,,,10-05-2024 13:29:23,10-05-2024 13:29:23,0.191s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@class = 'android.widget.CheckedTextView' and (@text = '$JenisPembiayaan')]]), 0)",,,,10-05-2024 13:29:23,10-05-2024 13:29:26,2.204s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@resource-id = '$id/tipeKonsumen']]), 0)",,,,10-05-2024 13:29:26,10-05-2024 13:29:27,1.024s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@class = 'android.widget.CheckedTextView' and (@text = '$TipeKonsumen')]]), 0)",,,,10-05-2024 13:29:27,10-05-2024 13:29:28,1.424s,PASSED
switch (NPWP),,,,10-05-2024 13:29:28,10-05-2024 13:29:29,0.774s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@resource-id = '$id/cluster']]), 0)",,,,10-05-2024 13:29:29,10-05-2024 13:29:30,0.636s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@class = 'android.widget.CheckedTextView' and (@text = '$Cluster')]]), 0)",,,,10-05-2024 13:29:30,10-05-2024 13:29:32,2.304s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@resource-id = '$id/tujuanPenggunaan']]), 0)",,,,10-05-2024 13:29:32,10-05-2024 13:29:33,1.044s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@class = 'android.widget.CheckedTextView' and (@text = '$TujuanPenggunaan')]]), 0)",,,,10-05-2024 13:29:33,10-05-2024 13:29:34,0.762s,PASSED
"takeScreenshot(baseDir + screenshotPathKredit + ""/"" + No + ""/"" + ""Input Data"" + "".png"", STOP_ON_FAILURE)",,,,10-05-2024 13:29:34,10-05-2024 13:29:35,0.915s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@resource-id = '$id/nextSimKredit']]), 0)",,,,10-05-2024 13:29:35,10-05-2024 13:29:36,1.033s,PASSED
"tap(findTestObject(""Object Repository/xpath"", [""xpath""://*[@resource-id = '$id/hargaKendaraan']]), 0)",,,,10-05-2024 13:29:36,10-05-2024 13:29:38,2.399s,PASSED
HargaKendaraan = HargaKendaraan,,,,10-05-2024 13:29:38,10-05-2024 13:29:38,0.000s,PASSED
"for ([i = 0, i < HargaKendaraan.length(), (i++)])",,,,10-05-2024 13:29:38,10-05-2024 13:29:43,5.331s,PASSED
